Date,GOOGL,META,MSFT,NVDA
2022-01-03,143.802978515625,335.904052734375,323.1607971191406,30.061138153076172
2022-01-04,143.21583557128906,333.9096374511719,317.6195068359375,29.231788635253906
2022-01-05,136.6456298828125,321.6459045410156,305.4267272949219,27.549142837524414
2022-01-06,136.61834716796875,329.8713073730469,303.0133361816406,28.121999740600586
2022-01-07,135.89385986328125,329.2066345214844,303.1678161621094,27.19285011291504
2022-01-10,137.5327911376953,325.51556396484375,303.38983154296875,27.34554672241211
2022-01-11,138.59056091308594,331.7664794921875,304.0751647949219,27.761720657348633
2022-01-12,140.27117919921875,330.66510009765625,307.2513427734375,27.9433536529541
2022-01-13,137.45098876953125,323.9378967285156,294.2477111816406,26.522180557250977
2022-01-14,138.337158203125,329.31573486328125,299.460693359375,26.888460159301758
2022-01-18,134.88319396972656,315.67279052734375,292.1720886230469,25.851518630981445
2022-01-19,134.00892639160156,317.1015319824219,292.82855224609375,25.017179489135742
2022-01-20,132.2147674560547,314.0951232910156,291.158447265625,24.102005004882812
2022-01-21,129.28298950195312,300.80938720703125,285.78131103515625,23.327545166015625
2022-01-24,129.73178100585938,306.3062744140625,286.1095886230469,23.3255558013916
2022-01-25,125.89448547363281,297.8128967285156,278.5023193359375,22.279634475708008
2022-01-26,128.17364501953125,292.3359375,286.437744140625,22.726741790771484
2022-01-27,127.94750213623047,292.3458557128906,289.4593200683594,21.900386810302734
2022-01-28,132.25787353515625,299.3607482910156,297.5879211425781,22.794607162475586
2022-01-31,134.19439697265625,310.8208923339844,300.2137756347656,24.437335968017578
2022-02-01,136.5157012939453,316.51611328125,298.0705871582031,24.589035034179688
2022-02-02,146.7868194580078,320.4850158691406,302.6077880859375,25.191835403442383
2022-02-03,141.91705322265625,235.90869140625,290.8205261230469,23.900405883789062
2022-02-04,142.11839294433594,235.24392700195312,295.3481750488281,24.27066993713379
2022-02-07,138.0599365234375,223.15878295898438,290.5309753417969,24.678857803344727
2022-02-08,138.25628662109375,218.46559143066406,294.0159606933594,25.058101654052734
2022-02-09,140.43133544921875,230.19357299804688,300.43572998046875,26.651926040649414
2022-02-10,137.48370361328125,226.29417419433594,291.91143798828125,25.772676467895508
2022-02-11,133.18174743652344,217.84051513671875,284.8255920410156,23.901405334472656
2022-02-14,134.41506958007812,216.00489807128906,284.78692626953125,24.21877670288086
2022-02-15,135.4886932373047,219.27920532226562,290.06756591796875,26.442346572875977
2022-02-16,136.60894775390625,214.85394287109375,289.7290344238281,26.458309173583984
2022-02-17,131.45252990722656,206.09266662597656,281.2450866699219,24.458301544189453
2022-02-18,129.33404541015625,204.5547637939453,278.5364074707031,23.595012664794922
2022-02-22,128.7493896484375,200.5065460205078,278.3332824707031,23.343517303466797
2022-02-23,126.54212951660156,196.90478515625,271.12640380859375,22.34250831604004
2022-02-24,131.60328674316406,205.98353576660156,284.9792175292969,23.7008056640625
2022-02-25,133.35731506347656,208.84112548828125,287.6104431152344,24.108991622924805
2022-02-28,133.9499053955078,209.38682556152344,289.0421447753906,24.336538314819336
2022-03-01,132.96255493164062,201.9055633544922,285.32745361328125,23.430343627929688
2022-03-02,133.46836853027344,206.48956298828125,290.39654541015625,24.175983428955078
2022-03-03,132.80191040039062,201.3896026611328,286.26580810546875,23.6709041595459
2022-03-04,130.82522583007812,198.50228881835938,280.4034423828125,22.894315719604492
2022-03-07,125.34255981445312,186.01028442382812,269.810791015625,21.313201904296875
2022-03-08,126.06259155273438,188.80831909179688,266.85052490234375,21.474905014038086
2022-03-09,132.32632446289062,196.95437622070312,279.08782958984375,22.97217559814453
2022-03-10,131.3439483642578,193.69003295898438,276.2727966308594,22.6168212890625
2022-03-11,128.80593872070312,186.14918518066406,270.932861328125,22.059837341308594
2022-03-14,124.91854858398438,185.1768341064453,267.42132568359375,21.291234970092773
2022-03-15,128.13893127441406,190.53477478027344,277.781982421875,22.931251525878906
2022-03-16,132.18800354003906,202.0444793701172,284.7857360839844,24.45148277282715
2022-03-17,132.74188232421875,206.22171020507812,285.588623046875,24.72099494934082
2022-03-18,135.00965881347656,214.80433654785156,290.6286926269531,26.404922485351562
2022-03-21,134.98583984375,209.84326171875,289.4001159667969,26.685413360595703
2022-03-22,138.72145080566406,214.96307373046875,294.14019775390625,26.475799560546875
2022-03-23,137.14202880859375,211.7979278564453,289.7192687988281,25.587413787841797
2022-03-24,140.4114990234375,217.86036682128906,294.17901611328125,28.09884262084961
2022-03-25,140.51165771484375,220.0928497314453,293.77264404296875,27.64167594909668
2022-03-28,140.2959747314453,221.8490447998047,300.5635681152344,28.167713165283203
2022-03-29,141.3373565673828,228.07020568847656,305.1199645996094,28.603923797607422
2022-03-30,140.77500915527344,226.0758819580078,303.6204528808594,27.639678955078125
2022-03-31,137.9275360107422,220.62863159179688,298.2516174316406,27.23641014099121
2022-04-01,139.0016632080078,223.09922790527344,299.3254089355469,26.663455963134766
2022-04-04,141.79953002929688,232.06884765625,304.6943664550781,27.310277938842773
2022-04-05,139.4385528564453,230.03480529785156,300.73773193359375,25.883872985839844
2022-04-06,135.42869567871094,221.5613250732422,289.7290344238281,24.36264419555664
2022-04-07,134.77459716796875,221.21400451660156,291.5379943847656,24.164003372192383
2022-04-08,132.1949005126953,220.59886169433594,287.28155517578125,23.07698631286621
2022-04-11,127.76751708984375,214.7745361328125,275.9535827636719,21.87717056274414
2022-04-12,126.66758728027344,212.47262573242188,272.8580017089844,21.46491813659668
2022-04-13,128.8292236328125,213.31600952148438,278.2365417480469,22.16265296936035
2022-04-14,125.691162109375,208.54344177246094,270.70074462890625,21.219369888305664
2022-04-18,126.6299057006836,209.1288604736328,271.3681640625,21.74341583251953
2022-04-19,128.94329833984375,215.61793518066406,275.99224853515625,22.15765953063965
2022-04-20,126.99040985107422,198.8594512939453,277.0177001953125,21.442960739135742
2022-04-21,123.79137420654297,186.60562133789062,271.6487121582031,20.146320343017578
2022-04-22,118.65481567382812,182.6764373779297,265.0899353027344,19.479534149169922
2022-04-25,122.06512451171875,185.53404235839844,271.5616760253906,19.865833282470703
2022-04-26,117.6773910522461,179.54104614257812,261.4042663574219,18.753854751586914
2022-04-27,113.35760498046875,173.5877685546875,273.9801940917969,18.381532669067383
2022-04-28,117.55094146728516,204.1280975341797,280.1809997558594,19.746044158935547
2022-04-29,113.17411041259766,198.9090576171875,268.4660949707031,18.513294219970703
2022-05-02,115.6273422241211,209.48606872558594,275.1893310546875,19.49750328063965
2022-05-03,116.37220001220703,210.37905883789062,272.58709716796875,19.56637191772461
2022-05-04,121.25879669189453,221.67047119140625,280.5196228027344,20.297046661376953
2022-05-05,115.55048370361328,206.65821838378906,268.3016052246094,18.809757232666016
2022-05-06,114.79769134521484,202.18336486816406,265.76708984375,18.641061782836914
2022-05-09,111.58871459960938,194.6822509765625,255.94825744628906,16.919198989868164
2022-05-10,113.45726776123047,196.11102294921875,260.707763671875,17.563020706176758
2022-05-11,112.67127227783203,187.27040100097656,252.04966735839844,16.599775314331055
2022-05-12,111.91897583007812,189.7509307861328,247.01931762695312,16.145605087280273
2022-05-13,115.09920501708984,197.07347106933594,252.60113525390625,17.6738224029541
2022-05-16,113.50686645507812,198.482421875,252.96873474121094,17.23262596130371
2022-05-17,115.51824188232422,201.04232788085938,258.1152038574219,18.143964767456055
2022-05-18,110.98222351074219,190.7431640625,246.36328125,16.907217025756836
2022-05-19,109.47916412353516,189.800537109375,245.45179748535156,17.092880249023438
2022-05-20,108.0152587890625,192.03302001953125,244.88943481445312,16.66366195678711
2022-05-23,110.5740966796875,194.70205688476562,252.73370361328125,16.867286682128906
2022-05-24,105.1013412475586,179.8684844970703,251.73501586914062,16.1246395111084
2022-05-25,104.93769836425781,182.39862060546875,254.54689025878906,16.944150924682617
2022-05-26,106.90889739990234,190.1378936767578,257.8243408203125,17.818559646606445
2022-05-27,111.39581298828125,193.6106719970703,264.9412841796875,18.77681541442871
2022-05-31,112.82945251464844,192.13221740722656,263.6129455566406,18.638065338134766
2022-06-01,112.95841217041016,187.1712188720703,264.14630126953125,18.28670883178711
2022-06-02,116.65830993652344,197.3115997314453,266.24066162109375,19.556394577026367
2022-06-03,113.60208892822266,189.29452514648438,261.819091796875,18.685977935791016
2022-06-06,115.8628921508789,192.73748779296875,260.58770751953125,18.751859664916992
2022-06-07,116.18920135498047,194.1265869140625,264.22381591796875,18.8916072845459
2022-06-08,116.23334503173828,195.10888671875,262.1973571777344,18.618045806884766
2022-06-09,113.8941650390625,182.56732177734375,256.74798583984375,18.019010543823242
2022-06-10,110.25028228759766,174.20297241210938,245.3063507080078,16.94673728942871
2022-06-13,105.52037811279297,162.9810028076172,234.90225219726562,15.621867179870605
2022-06-14,105.84072875976562,162.4551239013672,237.06454467773438,15.810562133789062
2022-06-15,108.86474609375,168.03135681152344,244.1136932373047,16.500450134277344
2022-06-16,105.1643295288086,159.61740112304688,237.52996826171875,15.575942039489746
2022-06-17,106.26522827148438,162.46507263183594,240.1285400390625,15.854491233825684
2022-06-21,110.62965393066406,155.82716369628906,246.0335693359375,16.539390563964844
2022-06-22,110.57360076904297,154.636474609375,245.44212341308594,16.333717346191406
2022-06-23,111.3219223022461,157.51390075683594,250.99806213378906,16.19893455505371
2022-06-24,117.00791931152344,168.8350830078125,259.56964111328125,17.098491668701172
2022-06-27,114.88397979736328,168.17027282714844,256.844970703125,16.84190559387207
2022-06-28,111.08935546875,159.4288787841797,248.6903839111328,15.956329345703125
2022-06-29,110.78585052490234,162.66351318359375,252.35557556152344,15.517032623291016
2022-06-30,108.0698013305664,159.99444580078125,249.02976989746094,15.134649276733398
2022-07-01,107.84615325927734,158.78396606445312,251.6962432861328,14.499670028686523
2022-07-05,112.33455657958984,166.8804168701172,254.86692810058594,14.939964294433594
2022-07-06,113.63282012939453,168.44810485839844,258.1248474121094,15.105696678161621
2022-07-07,117.8093032836914,170.84927368164062,260.2483825683594,15.832526206970215
2022-07-08,118.3751220703125,169.54945373535156,259.5308837890625,15.812560081481934
2022-07-11,114.72827911376953,161.6117706298828,256.4764404296875,15.127660751342773
2022-07-12,113.0858383178711,161.99871826171875,245.9657440185547,15.057772636413574
2022-07-13,110.44071197509766,162.21701049804688,245.04458618164062,15.139641761779785
2022-07-14,109.46279907226562,156.81936645507812,246.36328125,15.347306251525879
2022-07-15,110.86123657226562,163.41757202148438,248.92306518554688,15.73668098449707
2022-07-18,108.13624572753906,165.92788696289062,246.52813720703125,16.075136184692383
2022-07-19,112.8770751953125,174.41131591796875,251.64773559570312,16.96470832824707
2022-07-20,112.9663314819336,181.6643829345703,254.3045196533203,17.778398513793945
2022-07-21,113.40272521972656,181.74375915527344,256.79644775390625,18.021007537841797
2022-07-22,107.01551818847656,167.9520263671875,252.4525909423828,17.291179656982422
2022-07-25,106.62872314453125,165.35238647460938,250.96900939941406,16.99665641784668
2022-07-26,104.15911865234375,157.91079711914062,244.24948120117188,16.50644302368164
2022-07-27,112.13321685791016,168.2595672607422,260.5779724121094,17.761423110961914
2022-07-28,113.2837142944336,159.4685821533203,268.0151062011719,17.955108642578125
2022-07-29,115.36650085449219,157.86119079589844,272.2135314941406,18.133825302124023
2022-08-01,113.91846466064453,158.68470764160156,269.56646728515625,18.411376953125
2022-08-02,114.18624877929688,158.94271850585938,266.4733581542969,18.496238708496094
2022-08-03,117.1120834350586,167.48565673828125,273.8910217285156,18.862651824951172
2022-08-04,117.2211685180664,169.24188232421875,275.03509521484375,19.18413543701172
2022-08-05,116.50706481933594,165.80880737304688,274.31768798828125,18.9585018157959
2022-08-08,116.33847045898438,168.9243621826172,271.8062438964844,17.764415740966797
2022-08-09,115.6739501953125,167.21775817871094,273.7262268066406,17.05855369567871
2022-08-10,118.71878814697266,176.95140075683594,280.37786865234375,18.067930221557617
2022-08-11,117.8658218383789,176.10801696777344,278.30279541015625,17.91318130493164
2022-08-12,120.68256378173828,179.09454345703125,283.0443420410156,18.67894744873047
2022-08-15,121.07927703857422,179.48153686523438,284.55694580078125,19.001426696777344
2022-08-16,120.702392578125,178.0725860595703,283.8200378417969,18.848676681518555
2022-08-17,118.57003784179688,173.4885711669922,283.0718688964844,18.305545806884766
2022-08-18,119.1849365234375,173.30003356933594,281.9544372558594,18.74284553527832
2022-08-19,116.24919891357422,166.65219116210938,278.04815673828125,17.820327758789062
2022-08-22,113.30355834960938,161.78042602539062,269.885986328125,17.006635665893555
2022-08-23,112.9266586303711,159.8555450439453,268.6130676269531,17.15340232849121
2022-08-24,112.758056640625,161.98878479003906,267.9815368652344,17.1943359375
2022-08-25,115.69378662109375,167.46583557128906,270.95489501953125,17.884227752685547
2022-08-26,109.4355239868164,160.52029418945312,260.49951171875,16.233882904052734
2022-08-29,108.52305603027344,157.93063354492188,257.72052001953125,15.775617599487305
2022-08-30,108.04700469970703,155.93629455566406,255.52444458007812,15.443154335021973
2022-08-31,107.33289337158203,161.661376953125,254.06700134277344,15.069753646850586
